Meulaboh,4.76,0.96,4.28,4.24,2.07
Banda Aceh,4.86,1.93,1.38,3.46,2.41
Lhokseumawe,2.87,2.05,1.2,3.55,1.97
Sibolga,3.08,2.86,2.58,2.42,1.86
Pematang Siantar,3.1,2.15,1.54,2.78,2.12
Medan,3.18,1,2.43,1.76,1.7
Padangsidimpuan,3.82,2.22,2.15,3.27,1.49
Gunungsitoli,0,0,0,5.32,0.54
Padang,2.11,2.55,1.72,2.12,1.37
Bukittinggi,1.37,2.99,1.31,2.02,1.69
Tembilahan,4.27,2.64,2.4,3.3,1.09
Pekanbaru,4.07,2.54,2.56,2.24,1.55
Dumai,4.85,1.85,1.28,2.88,1.66
Bungo,4.25,2.46,2.61,2.32,1.65
Jambi,2.68,3.02,1.27,3.09,1.67
Palembang,2.85,2.78,2.06,1.5,1.84
Lubuklinggau,3.94,2.42,2.1,1.97,1.63
Bengkulu,3.56,2.35,2.91,0.89,2.42
Bandar Lampung,3.14,2.92,3.53,1.93,2.13
Metro,2.32,1.64,2.97,2.53,2.74
Tanjung Pandan,3.97,2.72,3.19,2.11,4.01
Pangkal Pinang,2.66,3.45,2.31,0.52,3.6
Batam,4.13,3.65,1.97,1.12,2.45
Tanjung Pinang,3.37,2.36,2.4,1.66,0.86
Jakarta,3.72,3.27,3.23,1.59,1.53
Bogor,4.59,3.69,3.02,2.18,1.93
Sukabumi,4.1,2.95,2.33,1.84,1.71
Bandung,3.46,3.76,2.78,1.75,1.65
Cirebon,4.36,2.8,2,1.16,1.81
Bekasi,3.01,4.23,4.28,2.81,1.61
Depok,3.93,2.86,3.29,1.78,1.81
Tasikmalaya,3.88,2.3,1.72,1.61,1.17
Cilacap,4.41,3.21,2.19,1.71,1.88
Purwokerto,3.91,2.98,2.28,1.9,2.18
Kudus,4.17,3.11,3.02,1.24,1.59
Surakarta,3.1,2.45,2.94,1.38,2.58
Semarang,3.64,2.76,2.93,1.49,1.49
Tegal,4.03,3.08,2.56,2.36,1.53
Yogyakarta,4.2,2.66,2.77,1.4,2.29
Jember,3.52,2.95,2.04,2.08,2.09
Banyuwangi,3.17,2.04,2.32,1.74,1.59
Sumenep,3.4,2.82,2.04,2.37,2.57
Kediri,3.44,1.97,1.83,1.93,1.64
Malang,3.75,2.98,1.93,1.42,1.75
Probolinggo,3.18,2.18,1.99,1.88,1.76
Madiun,4.78,2.71,2.2,1.86,2
Surabaya,4.37,3.03,2.21,1.33,2.71
Tangerang,3.5,3.46,3.31,1.18,1.81
Cilegon,5.24,2.73,3.54,2.62,2.19
Serang,5.17,3.78,3.06,1.91,2.23
Singaraja,3.38,1.88,2.42,2.48,2.39
Denpasar,3.31,3.4,2.37,0.55,2.01
Mataram,3.59,3.15,1.76,0.58,2.28
Bima,4.08,3.22,2.27,0.64,1.57
Waingapu,0,0,0,1.51,1.28
Maumere,1.7,2,1.84,2.24,0.55
Kupang,2.05,3.23,0.5,0.29,1.86
Sintang,0,0,0,4.68,1.88
Pontianak,3.86,3.99,2.64,2.11,1.16
Singkawang,5.23,3.18,1.08,2.72,2.55
Sampit,3.29,6.02,2.02,1.62,4.62
Palangkaraya,3.11,3.68,2.7,0.71,2.58
Kota Baru,0,0,0,1.44,2.68
Tanjung,2.4,2.6,2.15,2.05,2.43
Banjarmasin,3.82,2.63,4.15,1.67,2.54
Balikpapan,2.45,3.13,1.88,0.65,2.28
Samarinda,3.69,3.32,1.49,0.86,2.05
Tanjung Selor,0,0,0,1.96,2.33
Tarakan,2.77,5,1.47,1.15,2.83
Manado,2.44,3.83,3.52,-0.18,2.65
Kotamobagu,0,0,0,3.67,2.51
Luwuk,0,0,0,0.83,2.48
Palu,4.33,6.46,2.3,1.81,2.14
Bulukumba,4.66,3.85,2.25,2.3,2.16
Watampone,5.54,4.69,1.64,1.89,2.26
Makassar,4.48,3.48,2.43,2.13,2.26
Pare-pare,3.43,1.96,2.45,1.61,4.09
Palopo,3.95,4.19,1.91,1.21,2.96
Kendari,2.96,2.55,3.22,1.37,3.05
Bau-bau,3,2.92,1.35,1.25,1.05
Gorontalo,4.34,2.15,2.87,0.81,2.59
Mamuju,3.79,1.8,1.43,1.78,4.39
Ambon,-0.05,3.53,2.06,0.09,4.05
Tual,9.41,1.62,2.34,2.06,3.45
Ternate,1.97,4.12,2.02,2.13,2.38
Manokwari,1.78,6.02,4.76,-0.89,3.39
Sorong,1.33,4.95,1.01,1.17,3.49
Merauke,1.25,5.42,-0.65,1.06,1.68
Timika,0,0,0,4.12,2.09
Jayapura,2.41,6.7,0.6,0.75,1.7
